YEAR,MO,DY,HR,T2M,RH2M
2001,1,14,11,28.66,62.42
2001,1,14,12,28.84,61.91
2001,1,14,13,28.82,61.98
2001,1,14,14,28.51,62.72
2001,1,14,15,27.84,64.83
2001,1,14,16,26.74,70.26
2001,1,14,17,25.34,80.7
2001,1,14,18,24.06,88.15
2001,1,14,19,23.51,90.66
2001,1,14,20,23.13,92.61
2001,1,14,21,22.83,94.23
2001,1,14,22,22.67,95.14
2001,1,14,23,22.46,95.75
2001,1,15,0,22.15,96.71
2001,1,15,1,21.91,97.33
2001,1,15,2,21.73,97.62
2001,1,15,3,21.57,98.04
2001,1,15,4,21.43,98.55
2001,1,15,5,21.33,98.82
2001,1,15,6,22.58,93.28
2001,1,15,7,23.82,86.19
2001,1,15,8,24.89,80.14
2001,1,15,9,25.79,74.83
2001,1,15,10,26.51,71.38
2001,1,15,11,26.76,70.08
2001,1,15,12,26.67,69.97
2001,1,15,13,26.44,70.48
2001,1,15,14,26.17,71.33
2001,1,15,15,25.8,72.92
2001,1,15,16,25.11,77.25
2001,1,15,17,24.05,85.77
2001,1,15,18,22.97,91.93
2001,1,15,19,22.64,93.29
2001,1,15,20,22.38,94.15
2001,1,15,21,22.13,94.58
2001,1,15,22,21.9,94.57
2001,1,15,23,21.68,94.05
2001,1,16,0,21.49,93.25
2001,1,16,1,21.34,92.57
2001,1,16,2,21.2,92.13
2001,1,16,3,21.02,92.1
2001,1,16,4,20.79,92.24
2001,1,16,5,20.56,92.57
2001,1,16,6,21.32,88.55
2001,1,16,7,22.74,80.85
2001,1,16,8,24.6,72.09
2001,1,16,9,26.42,65.39
2001,1,16,10,28.02,60.82
2001,1,16,11,29.13,58.41
2001,1,16,12,29.65,57.87
2001,1,16,13,29.44,58.9
2001,1,16,14,28.68,61.35
2001,1,16,15,27.63,64.76
2001,1,16,16,26.51,69.84
2001,1,16,17,25.11,78.39
2001,1,16,18,23.55,86.17
2001,1,16,19,23.01,88.91
2001,1,16,20,22.69,91.34
2001,1,16,21,22.62,93
2001,1,16,22,22.57,94.31
2001,1,16,23,22.47,95.21
2001,1,17,0,22.35,95.85
2001,1,17,1,22.27,96.23
2001,1,17,2,22.25,96.48
2001,1,17,3,22.2,97.11
2001,1,17,4,22.11,97.95
2001,1,17,5,22.14,98.2
2001,1,17,6,23.19,95.23
2001,1,17,7,24.09,91.31
2001,1,17,8,24.99,84.23
2001,1,17,9,25.92,77.59
2001,1,17,10,26.64,73.18
2001,1,17,11,27.06,70.77
2001,1,17,12,27.19,70.1
2001,1,17,13,27.31,69.07
2001,1,17,14,27.14,68.98
2001,1,17,15,26.53,71.41
2001,1,17,16,25.78,75.74
2001,1,17,17,24.67,83.02
2001,1,17,18,23.32,91.1
2001,1,17,19,22.98,93.57
2001,1,17,20,22.9,94.92
2001,1,17,21,22.87,96.04
2001,1,17,22,22.81,96.88
2001,1,17,23,22.76,97.31
2001,1,18,0,22.76,97.19
2001,1,18,1,22.71,96.93
2001,1,18,2,22.59,96.89
2001,1,18,3,22.44,96.98
2001,1,18,4,22.28,97.15
2001,1,18,5,22.16,97.16
2001,1,18,6,22.69,95.51
2001,1,18,7,23.5,92.06
2001,1,18,8,24.6,86.21
2001,1,18,9,26.04,78.27
2001,1,18,10,27.28,71.8
2001,1,18,11,28.06,68.33
2001,1,18,12,28.13,67.38
2001,1,18,13,27.61,69.63
2001,1,18,14,26.98,73.09
2001,1,18,15,26.38,76.29
2001,1,18,16,25.65,80.47
2001,1,18,17,24.57,87
2001,1,18,18,23.53,91.89
2001,1,18,19,23.15,93.17
2001,1,18,20,22.89,93.83
2001,1,18,21,22.67,94.26
2001,1,18,22,22.43,95.1
2001,1,18,23,22.23,95.82
2001,1,19,0,22.1,96.35
2001,1,19,1,21.95,96.96
2001,1,19,2,21.81,97.43
2001,1,19,3,21.68,97.57
2001,1,19,4,21.59,97.95
2001,1,19,5,21.55,98.22
2001,1,19,6,22.5,95.41
2001,1,19,7,23.48,91.01
2001,1,19,8,24.73,84.2
2001,1,19,9,25.98,77.74
2001,1,19,10,26.81,74.21
2001,1,19,11,27.35,72.11
2001,1,19,12,27.47,71.55
2001,1,19,13,27.04,74.07
2001,1,19,14,26.57,77.03
2001,1,19,15,26.1,79.78
2001,1,19,16,25.47,83.58
2001,1,19,17,24.55,90.16
2001,1,19,18,23.49,94.56
2001,1,19,19,23.11,95.36
2001,1,19,20,22.79,95.8
2001,1,19,21,22.5,96.29
2001,1,19,22,22.21,97.03
2001,1,19,23,22.01,97.37
2001,1,20,0,21.89,97.45
2001,1,20,1,21.8,97.69
2001,1,20,2,21.7,98.09
2001,1,20,3,21.63,98.51
2001,1,20,4,21.62,98.78
2001,1,20,5,21.62,98.96
2001,1,20,6,22.65,95.71
2001,1,20,7,23.59,91.15
2001,1,20,8,24.81,84.12
2001,1,20,9,25.97,77.51
2001,1,20,10,26.9,72.95
2001,1,20,11,27.39,70.84
2001,1,20,12,27.63,69.79
2001,1,20,13,27.54,70.8
2001,1,20,14,27.21,73.24
2001,1,20,15,26.68,76.72
2001,1,20,16,25.85,81.99
2001,1,20,17,24.83,89.39
2001,1,20,18,23.94,94.98
2001,1,20,19,23.65,96.33
2001,1,20,20,23.5,96.94
2001,1,20,21,23.47,97.25
2001,1,20,22,23.4,97.35
2001,1,20,23,23.3,97.32
2001,1,21,0,23.08,97.66
2001,1,21,1,22.93,97.71
2001,1,21,2,22.77,98.04
2001,1,21,3,22.58,98.5
2001,1,21,4,22.4,98.57
2001,1,21,5,22.27,98.58
2001,1,21,6,22.92,96.74
2001,1,21,7,23.6,93.07
2001,1,21,8,24.25,89.14
2001,1,21,9,25.09,84.19
2001,1,21,10,25.82,80.26
2001,1,21,11,26.41,77.33
2001,1,21,12,26.79,75.43
2001,1,21,13,26.89,74.9
2001,1,21,14,26.81,74.92
2001,1,21,15,26.44,76.42
2001,1,21,16,25.72,80.55
2001,1,21,17,24.66,88.92
2001,1,21,18,23.59,93.95
2001,1,21,19,23.32,94.21
2001,1,21,20,23.14,94.16
2001,1,21,21,22.98,94.38
2001,1,21,22,22.85,94.36
2001,1,21,23,22.61,94.97
2001,1,22,0,22.39,95.28
2001,1,22,1,22.2,95.07
2001,1,22,2,22.01,95.28
2001,1,22,3,21.82,95.51
2001,1,22,4,21.57,96.04
2001,1,22,5,21.38,96.54
2001,1,22,6,22.63,92.22
2001,1,22,7,24.56,82.14
2001,1,22,8,26.58,73.28
2001,1,22,9,27.88,69.04
2001,1,22,10,28.57,67.32
2001,1,22,11,28.75,67.16
2001,1,22,12,28.6,68.36
2001,1,22,13,27.86,71.85
2001,1,22,14,26.95,76.78
2001,1,22,15,26.15,81.11
2001,1,22,16,25.4,85.77
2001,1,22,17,24.56,91.7
2001,1,22,18,23.89,95.87
2001,1,22,19,23.59,96.72
2001,1,22,20,23.41,96.75
2001,1,22,21,23.27,96.24
2001,1,22,22,23.14,95.74
2001,1,22,23,22.98,95.85
2001,1,23,0,22.87,96.38
2001,1,23,1,22.86,97.07
2001,1,23,2,22.76,97.36
2001,1,23,3,22.74,97.39
2001,1,23,4,22.76,97.43
2001,1,23,5,22.73,97.7
2001,1,23,6,23.22,96.52
2001,1,23,7,23.96,94.19
2001,1,23,8,24.62,91.02
2001,1,23,9,25.19,87
2001,1,23,10,25.42,83.67
2001,1,23,11,25.19,81.81
2001,1,23,12,24.99,79.83
2001,1,23,13,24.9,78.17
2001,1,23,14,24.83,77.78
2001,1,23,15,24.69,78.43
2001,1,23,16,24.29,81.21
2001,1,23,17,23.51,88.45
2001,1,23,18,22.41,93.2
2001,1,23,19,22.1,93.73
2001,1,23,20,21.88,94.25
2001,1,23,21,21.6,95.06
2001,1,23,22,21.34,95.97
2001,1,23,23,21.09,96.86
2001,1,24,0,20.89,97.57
2001,1,24,1,20.71,98.17
2001,1,24,2,20.66,98.44
2001,1,24,3,20.67,98.48
2001,1,24,4,20.71,98.57
2001,1,24,5,20.8,98.56
2001,1,24,6,22.2,94.84
2001,1,24,7,23.72,88.84
2001,1,24,8,25.64,79.18
2001,1,24,9,27.38,70.67
2001,1,24,10,28.54,66.64
2001,1,24,11,29.2,64.58
2001,1,24,12,29.34,63.94
2001,1,24,13,29.22,63.89
2001,1,24,14,28.9,64.44
2001,1,24,15,28.09,67.42
2001,1,24,16,27.13,72.4
2001,1,24,17,25.64,81.83
2001,1,24,18,24.1,89.77
2001,1,24,19,23.54,92.14
2001,1,24,20,23.19,93.71
2001,1,24,21,22.95,94.92
2001,1,24,22,22.78,95.65
2001,1,24,23,22.58,96.19
2001,1,25,0,22.41,96.62
2001,1,25,1,22.3,96.86
2001,1,25,2,22.16,97.37
2001,1,25,3,22.03,97.75
2001,1,25,4,21.92,98.15
2001,1,25,5,21.88,98.34
2001,1,25,6,23.22,94.19
2001,1,25,7,24.69,87.71
2001,1,25,8,26.3,79.83
2001,1,25,9,27.62,73.48
2001,1,25,10,28.46,69.93
2001,1,25,11,28.9,68.28
2001,1,25,12,29.42,66.54
2001,1,25,13,29.23,66.85
2001,1,25,14,28.72,69.06
2001,1,25,15,27.93,72.43
2001,1,25,16,26.86,79.08
2001,1,25,17,25.74,85.59
2001,1,25,18,24.69,92.64
2001,1,25,19,24.24,94.03
2001,1,25,20,23.85,95.03
2001,1,25,21,23.54,95.75
2001,1,25,22,23.32,96.05
2001,1,25,23,23.16,96.24
2001,1,26,0,22.99,96.36
2001,1,26,1,22.8,96.49
2001,1,26,2,22.67,96.44
2001,1,26,3,22.54,96.26
2001,1,26,4,22.43,95.98
2001,1,26,5,22.37,95.77
2001,1,26,6,23.33,92.55
2001,1,26,7,24.5,85.53
2001,1,26,8,26.13,76.93
2001,1,26,9,27.65,71.12
2001,1,26,10,28.66,69.23
2001,1,26,11,29.14,68.42
2001,1,26,12,29.36,68.08
2001,1,26,13,29.23,68.65
2001,1,26,14,28.85,70.91
2001,1,26,15,27.86,75.93
2001,1,26,16,26.75,82.28
2001,1,26,17,25.62,89.57
2001,1,26,18,24.71,94.76
2001,1,26,19,24.39,96.11
2001,1,26,20,24.17,96.73
2001,1,26,21,23.94,96.98
2001,1,26,22,23.71,97.16
2001,1,26,23,23.5,97.3
2001,1,27,0,23.33,97.21
2001,1,27,1,23.21,96.76
2001,1,27,2,23.08,96.44
2001,1,27,3,23.03,96.2
2001,1,27,4,23.02,95.74
2001,1,27,5,22.98,95.53
2001,1,27,6,23.69,94.69
2001,1,27,7,24.76,89.09
2001,1,27,8,25.87,83.56
2001,1,27,9,26.66,79.97
2001,1,27,10,27.28,76.74
2001,1,27,11,27.49,75.47
2001,1,27,12,27.3,76.88
2001,1,27,13,26.97,78.93
2001,1,27,14,26.54,81.43
2001,1,27,15,26.03,84.62
2001,1,27,16,25.47,88.38
2001,1,27,17,24.77,93.14
2001,1,27,18,24.17,96.4
2001,1,27,19,23.97,97.29
2001,1,27,20,23.8,97.83
2001,1,27,21,23.65,98.27
2001,1,27,22,23.42,98.77
2001,1,27,23,23.21,99.07
2001,1,28,0,22.97,99.33
2001,1,28,1,22.78,99.13
2001,1,28,2,22.69,98.45
2001,1,28,3,22.76,97.71
2001,1,28,4,22.73,97.36
2001,1,28,5,22.66,97.13
2001,1,28,6,23.54,95.65
2001,1,28,7,25.22,86.6
2001,1,28,8,26.61,78.7
2001,1,28,9,27.6,74.42
2001,1,28,10,28.08,72.38
2001,1,28,11,28.31,71.46
2001,1,28,12,28.33,71.53
2001,1,28,13,27.98,73.16
2001,1,28,14,27.45,75.8
2001,1,28,15,26.71,79.77
2001,1,28,16,25.81,85.48
2001,1,28,17,24.85,91.86
2001,1,28,18,24.11,95.92
2001,1,28,19,23.9,97.14
2001,1,28,20,23.8,97.63
2001,1,28,21,23.76,97.63
2001,1,28,22,23.69,97.86
2001,1,28,23,23.68,97.72
2001,1,29,0,23.69,97.41
2001,1,29,1,23.64,97.33
2001,1,29,2,23.45,97.58
2001,1,29,3,23.25,97.57
2001,1,29,4,23.09,97.45
2001,1,29,5,23.01,97.16
2001,1,29,6,23.26,96.06
2001,1,29,7,23.79,92.64
2001,1,29,8,24.49,87.65
2001,1,29,9,25.51,82.36
2001,1,29,10,26.4,77.87
2001,1,29,11,26.98,75.22
2001,1,29,12,27.22,73.98
2001,1,29,13,27.19,73.59
2001,1,29,14,26.65,76.34
2001,1,29,15,25.72,81.53
2001,1,29,16,25.03,86
2001,1,29,17,24.36,91.12
2001,1,29,18,23.68,95.25
2001,1,29,19,23.48,95.99
2001,1,29,20,23.3,96.67
2001,1,29,21,23.17,97.04
2001,1,29,22,23.09,97.11
2001,1,29,23,23.01,97.14
2001,1,30,0,22.98,97.05
2001,1,30,1,22.89,97.05
2001,1,30,2,22.76,97.14
2001,1,30,3,22.62,97.09
2001,1,30,4,22.49,97.1
2001,1,30,5,22.34,97.29
2001,1,30,6,22.94,95.98
2001,1,30,7,23.76,92.21
2001,1,30,8,24.91,87.38
2001,1,30,9,26.36,80.73
2001,1,30,10,26.82,77.91
2001,1,30,11,26.8,78.14
2001,1,30,12,26.76,77.56
2001,1,30,13,26.54,78.16
2001,1,30,14,25.97,80.34
2001,1,30,15,25.48,82.01
2001,1,30,16,24.87,84.74
2001,1,30,17,24.03,89.92
2001,1,30,18,23.2,93.45
2001,1,30,19,22.88,94.17
2001,1,30,20,22.65,94.99
2001,1,30,21,22.45,95.67
2001,1,30,22,22.32,96.06
2001,1,30,23,22.23,96.64
2001,1,31,0,22.22,97.08
2001,1,31,1,22.26,97.42
2001,1,31,2,22.29,97.61
2001,1,31,3,22.3,97.65
2001,1,31,4,22.29,97.78
2001,1,31,5,22.3,97.79
2001,1,31,6,23.34,95.13
2001,1,31,7,24.42,91.46
2001,1,31,8,25.55,84.91
2001,1,31,9,26.44,79.2
2001,1,31,10,26.79,76.42
2001,1,31,11,26.73,76.22
2001,1,31,12,26.54,76.93
2001,1,31,13,26.25,78.47
2001,1,31,14,25.85,80.57
2001,1,31,15,25.27,83.67
2001,1,31,16,24.57,88.1
2001,1,31,17,23.88,93.14
2001,1,31,18,23.38,96.1
2001,1,31,19,23.27,96.85
2001,1,31,20,23.19,96.9
2001,1,31,21,23.09,96.97
2001,1,31,22,23.02,97.32
2001,1,31,23,22.9,97.4
2001,2,1,0,22.8,97.39
2001,2,1,1,22.7,97.45
2001,2,1,2,22.61,97.48
2001,2,1,3,22.59,97.06
2001,2,1,4,22.63,96.36
2001,2,1,5,22.43,96.89
2001,2,1,6,22.69,96.01
2001,2,1,7,23.34,92.96
2001,2,1,8,23.94,88.78
2001,2,1,9,24.66,84.33
2001,2,1,10,25.35,80.53
2001,2,1,11,25.85,78.03
2001,2,1,12,26.05,77.05
2001,2,1,13,25.86,78.1
2001,2,1,14,25.5,79.76
2001,2,1,15,25.07,81.77
2001,2,1,16,24.49,85.69
2001,2,1,17,23.57,92.3
2001,2,1,18,22.61,96
2001,2,1,19,22.31,96.65
2001,2,1,20,22.04,97.39
2001,2,1,21,21.9,97.5
2001,2,1,22,21.78,97.42
2001,2,1,23,21.61,97.43
2001,2,2,0,21.41,97.65
2001,2,2,1,21.28,97.71
2001,2,2,2,21.15,97.96
2001,2,2,3,21.05,98.13
2001,2,2,4,20.98,98.2
2001,2,2,5,20.96,98.19
2001,2,2,6,22.07,95.36
2001,2,2,7,23.22,89.96
2001,2,2,8,24.49,83.42
2001,2,2,9,25.61,78.07
2001,2,2,10,26.36,74.73
2001,2,2,11,26.9,72.56
2001,2,2,12,27.22,71.4
2001,2,2,13,27.09,71.98
2001,2,2,14,26.82,73.48
2001,2,2,15,26.11,77.52
2001,2,2,16,25.28,82.78
2001,2,2,17,24.27,90.05
2001,2,2,18,23.36,95.33
2001,2,2,19,22.97,96.31
2001,2,2,20,22.71,96.76
2001,2,2,21,22.57,96.8
2001,2,2,22,22.38,96.95
2001,2,2,23,22.17,97.09
2001,2,3,0,21.95,97.35
2001,2,3,1,21.79,97.33
2001,2,3,2,21.65,97.21
2001,2,3,3,21.5,97.03
2001,2,3,4,21.24,97.47
2001,2,3,5,21.09,97.57
2001,2,3,6,22.07,95.24
2001,2,3,7,22.92,91.21
2001,2,3,8,23.84,86.3
2001,2,3,9,24.8,81.96
2001,2,3,10,25.73,78.25
2001,2,3,11,26.59,74.85
2001,2,3,12,26.96,73.28
2001,2,3,13,27.04,72.92
2001,2,3,14,26.55,75.02
2001,2,3,15,25.88,78.18
2001,2,3,16,25.08,82.72
2001,2,3,17,24.01,89.19
2001,2,3,18,23.05,93.06
2001,2,3,19,22.75,93.51
2001,2,3,20,22.51,94.04
2001,2,3,21,22.29,94.98
2001,2,3,22,22.14,95.66
2001,2,3,23,22.01,95.91
2001,2,4,0,21.89,96.08
2001,2,4,1,21.79,96.09
2001,2,4,2,21.68,96.18
2001,2,4,3,21.58,96.24
2001,2,4,4,21.52,96.32
2001,2,4,5,21.49,96.49
